DBPediaURI;searchwrap_q=CatchPetrovaFire&extern=true;searchwrap_q=CatchPetrovaFire&extern=true.1;searchwrap_q=CatchPetrovaFire&extern=true.10;searchwrap_q=CatchPetrovaFire&extern=true.11;searchwrap_q=CatchPetrovaFire&extern=true.12;searchwrap_q=CatchPetrovaFire&extern=true.13;searchwrap_q=CatchPetrovaFire&extern=true.14;searchwrap_q=CatchPetrovaFire&extern=true.15;searchwrap_q=CatchPetrovaFire&extern=true.16;searchwrap_q=CatchPetrovaFire&extern=true.17;searchwrap_q=CatchPetrovaFire&extern=true.18;searchwrap_q=CatchPetrovaFire&extern=true.19;searchwrap_q=CatchPetrovaFire&extern=true.2;searchwrap_q=CatchPetrovaFire&extern=true.20;searchwrap_q=CatchPetrovaFire&extern=true.21;searchwrap_q=CatchPetrovaFire&extern=true.22;searchwrap_q=CatchPetrovaFire&extern=true.23;searchwrap_q=CatchPetrovaFire&extern=true.24;searchwrap_q=CatchPetrovaFire&extern=true.25;searchwrap_q=CatchPetrovaFire&extern=true.26;searchwrap_q=CatchPetrovaFire&extern=true.27;searchwrap_q=CatchPetrovaFire&extern=true.28;searchwrap_q=CatchPetrovaFire&extern=true.29;searchwrap_q=CatchPetrovaFire&extern=true.3;searchwrap_q=CatchPetrovaFire&extern=true.30;searchwrap_q=CatchPetrovaFire&extern=true.31;searchwrap_q=CatchPetrovaFire&extern=true.32;searchwrap_q=CatchPetrovaFire&extern=true.33;searchwrap_q=CatchPetrovaFire&extern=true.34;searchwrap_q=CatchPetrovaFire&extern=true.35;searchwrap_q=CatchPetrovaFire&extern=true.36;searchwrap_q=CatchPetrovaFire&extern=true.37;searchwrap_q=CatchPetrovaFire&extern=true.38;searchwrap_q=CatchPetrovaFire&extern=true.39;searchwrap_q=CatchPetrovaFire&extern=true.4;searchwrap_q=CatchPetrovaFire&extern=true.40;searchwrap_q=CatchPetrovaFire&extern=true.41;searchwrap_q=CatchPetrovaFire&extern=true.42;searchwrap_q=CatchPetrovaFire&extern=true.43;searchwrap_q=CatchPetrovaFire&extern=true.44;searchwrap_q=CatchPetrovaFire&extern=true.45;searchwrap_q=CatchPetrovaFire&extern=true.46;searchwrap_q=CatchPetrovaFire&extern=true.47;searchwrap_q=CatchPetrovaFire&extern=true.5;searchwrap_q=CatchPetrovaFire&extern=true.6;searchwrap_q=CatchPetrovaFire&extern=true.7;searchwrap_q=CatchPetrovaFire&extern=true.8;searchwrap_q=CatchPetrovaFire&extern=true.9
http://dbpedia.org/resource/User_(computing);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
http://dbpedia.org/resource/twitter;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Show_out;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/HTML;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Facebook;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Twitter;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/American_Idol;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
http://dbpedia.org/resource/The_CW_Television_Network;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/youtube;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Prison_Break;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
