DBPediaURI;searchwrap_q=#goodlucknickj&extern=true;searchwrap_q=#goodlucknickj&extern=true.1;searchwrap_q=#goodlucknickj&extern=true.10;searchwrap_q=#goodlucknickj&extern=true.11;searchwrap_q=#goodlucknickj&extern=true.12;searchwrap_q=#goodlucknickj&extern=true.13;searchwrap_q=#goodlucknickj&extern=true.14;searchwrap_q=#goodlucknickj&extern=true.15;searchwrap_q=#goodlucknickj&extern=true.16;searchwrap_q=#goodlucknickj&extern=true.17;searchwrap_q=#goodlucknickj&extern=true.18;searchwrap_q=#goodlucknickj&extern=true.19;searchwrap_q=#goodlucknickj&extern=true.2;searchwrap_q=#goodlucknickj&extern=true.20;searchwrap_q=#goodlucknickj&extern=true.21;searchwrap_q=#goodlucknickj&extern=true.22;searchwrap_q=#goodlucknickj&extern=true.23;searchwrap_q=#goodlucknickj&extern=true.24;searchwrap_q=#goodlucknickj&extern=true.25;searchwrap_q=#goodlucknickj&extern=true.26;searchwrap_q=#goodlucknickj&extern=true.27;searchwrap_q=#goodlucknickj&extern=true.28;searchwrap_q=#goodlucknickj&extern=true.29;searchwrap_q=#goodlucknickj&extern=true.3;searchwrap_q=#goodlucknickj&extern=true.30;searchwrap_q=#goodlucknickj&extern=true.31;searchwrap_q=#goodlucknickj&extern=true.32;searchwrap_q=#goodlucknickj&extern=true.33;searchwrap_q=#goodlucknickj&extern=true.34;searchwrap_q=#goodlucknickj&extern=true.35;searchwrap_q=#goodlucknickj&extern=true.36;searchwrap_q=#goodlucknickj&extern=true.37;searchwrap_q=#goodlucknickj&extern=true.38;searchwrap_q=#goodlucknickj&extern=true.39;searchwrap_q=#goodlucknickj&extern=true.4;searchwrap_q=#goodlucknickj&extern=true.40;searchwrap_q=#goodlucknickj&extern=true.41;searchwrap_q=#goodlucknickj&extern=true.42;searchwrap_q=#goodlucknickj&extern=true.43;searchwrap_q=#goodlucknickj&extern=true.44;searchwrap_q=#goodlucknickj&extern=true.45;searchwrap_q=#goodlucknickj&extern=true.46;searchwrap_q=#goodlucknickj&extern=true.47;searchwrap_q=#goodlucknickj&extern=true.5;searchwrap_q=#goodlucknickj&extern=true.6;searchwrap_q=#goodlucknickj&extern=true.7;searchwrap_q=#goodlucknickj&extern=true.8;searchwrap_q=#goodlucknickj&extern=true.9
http://dbpedia.org/resource/User_(computing);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/twitter;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/nick_jonas;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Democratic_Party_(United_States);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Nick_Jonas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Twitter;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Public_Broadcasting_Service;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Motown_Records;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/you_can_do_anything;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/White_House;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
